date,trends_index,keyword,region,keyword_en
2014-01-01,3,boliviano,VE,Boliviano
2014-02-01,4,boliviano,VE,Boliviano
2014-03-01,5,boliviano,VE,Boliviano
2014-04-01,4,boliviano,VE,Boliviano
2014-05-01,5,boliviano,VE,Boliviano
2014-06-01,4,boliviano,VE,Boliviano
2014-07-01,4,boliviano,VE,Boliviano
2014-08-01,5,boliviano,VE,Boliviano
2014-09-01,5,boliviano,VE,Boliviano
2014-10-01,4,boliviano,VE,Boliviano
2014-11-01,5,boliviano,VE,Boliviano
2014-12-01,4,boliviano,VE,Boliviano
2015-01-01,5,boliviano,VE,Boliviano
2015-02-01,4,boliviano,VE,Boliviano
2015-03-01,3,boliviano,VE,Boliviano
2015-04-01,4,boliviano,VE,Boliviano
2015-05-01,5,boliviano,VE,Boliviano
2015-06-01,4,boliviano,VE,Boliviano
2015-07-01,4,boliviano,VE,Boliviano
2015-08-01,4,boliviano,VE,Boliviano
2015-09-01,2,boliviano,VE,Boliviano
2015-10-01,4,boliviano,VE,Boliviano
2015-11-01,3,boliviano,VE,Boliviano
2015-12-01,4,boliviano,VE,Boliviano
2016-01-01,4,boliviano,VE,Boliviano
2016-02-01,3,boliviano,VE,Boliviano
2016-03-01,3,boliviano,VE,Boliviano
2016-04-01,5,boliviano,VE,Boliviano
2016-05-01,3,boliviano,VE,Boliviano
2016-06-01,3,boliviano,VE,Boliviano
2016-07-01,3,boliviano,VE,Boliviano
2016-08-01,3,boliviano,VE,Boliviano
2016-09-01,3,boliviano,VE,Boliviano
2016-10-01,3,boliviano,VE,Boliviano
2016-11-01,6,boliviano,VE,Boliviano
2016-12-01,4,boliviano,VE,Boliviano
2017-01-01,4,boliviano,VE,Boliviano
2017-02-01,4,boliviano,VE,Boliviano
2017-03-01,5,boliviano,VE,Boliviano
2017-04-01,2,boliviano,VE,Boliviano
2017-05-01,4,boliviano,VE,Boliviano
2017-06-01,4,boliviano,VE,Boliviano
2017-07-01,3,boliviano,VE,Boliviano
2017-08-01,4,boliviano,VE,Boliviano
2017-09-01,2,boliviano,VE,Boliviano
2017-10-01,5,boliviano,VE,Boliviano
2017-11-01,3,boliviano,VE,Boliviano
2017-12-01,2,boliviano,VE,Boliviano
2018-01-01,2,boliviano,VE,Boliviano
2018-02-01,3,boliviano,VE,Boliviano
2018-03-01,1,boliviano,VE,Boliviano
2018-04-01,4,boliviano,VE,Boliviano
2018-05-01,3,boliviano,VE,Boliviano
2018-06-01,3,boliviano,VE,Boliviano
2018-07-01,4,boliviano,VE,Boliviano
2018-08-01,2,boliviano,VE,Boliviano
2018-09-01,1,boliviano,VE,Boliviano
2018-10-01,4,boliviano,VE,Boliviano
2018-11-01,5,boliviano,VE,Boliviano
2018-12-01,5,boliviano,VE,Boliviano
2019-01-01,2,boliviano,VE,Boliviano
2019-02-01,4,boliviano,VE,Boliviano
2019-03-01,5,boliviano,VE,Boliviano
2019-04-01,3,boliviano,VE,Boliviano
2019-05-01,3,boliviano,VE,Boliviano
2019-06-01,5,boliviano,VE,Boliviano
2019-07-01,4,boliviano,VE,Boliviano
2019-08-01,3,boliviano,VE,Boliviano
2019-09-01,4,boliviano,VE,Boliviano
2019-10-01,5,boliviano,VE,Boliviano
2019-11-01,8,boliviano,VE,Boliviano
2019-12-01,7,boliviano,VE,Boliviano
2020-01-01,5,boliviano,VE,Boliviano
2020-02-01,5,boliviano,VE,Boliviano
2020-03-01,2,boliviano,VE,Boliviano
2020-04-01,4,boliviano,VE,Boliviano
2020-05-01,4,boliviano,VE,Boliviano
2020-06-01,4,boliviano,VE,Boliviano
2020-07-01,2,boliviano,VE,Boliviano
2020-08-01,2,boliviano,VE,Boliviano
2020-09-01,4,boliviano,VE,Boliviano
2020-10-01,5,boliviano,VE,Boliviano
2020-11-01,3,boliviano,VE,Boliviano
2020-12-01,3,boliviano,VE,Boliviano
2021-01-01,4,boliviano,VE,Boliviano
2021-02-01,4,boliviano,VE,Boliviano
2021-03-01,4,boliviano,VE,Boliviano
2021-04-01,5,boliviano,VE,Boliviano
2021-05-01,4,boliviano,VE,Boliviano
2021-06-01,2,boliviano,VE,Boliviano
2021-07-01,3,boliviano,VE,Boliviano
2021-08-01,5,boliviano,VE,Boliviano
2021-09-01,4,boliviano,VE,Boliviano
2021-10-01,2,boliviano,VE,Boliviano
2021-11-01,4,boliviano,VE,Boliviano
2021-12-01,4,boliviano,VE,Boliviano
2022-01-01,5,boliviano,VE,Boliviano
2022-02-01,4,boliviano,VE,Boliviano
2022-03-01,4,boliviano,VE,Boliviano
2022-04-01,5,boliviano,VE,Boliviano
2022-05-01,4,boliviano,VE,Boliviano
2022-06-01,6,boliviano,VE,Boliviano
2022-07-01,4,boliviano,VE,Boliviano
2022-08-01,6,boliviano,VE,Boliviano
2022-09-01,5,boliviano,VE,Boliviano
2022-10-01,5,boliviano,VE,Boliviano
2022-11-01,3,boliviano,VE,Boliviano
2022-12-01,4,boliviano,VE,Boliviano
2023-01-01,5,boliviano,VE,Boliviano
2023-02-01,4,boliviano,VE,Boliviano
2023-03-01,5,boliviano,VE,Boliviano
2023-04-01,3,boliviano,VE,Boliviano
2023-05-01,8,boliviano,VE,Boliviano
2004-01-01,37,suma,VE,Sum
2004-02-01,52,suma,VE,Sum
2004-03-01,42,suma,VE,Sum
2004-04-01,44,suma,VE,Sum
2004-05-01,16,suma,VE,Sum
2004-06-01,23,suma,VE,Sum
2004-07-01,33,suma,VE,Sum
2004-08-01,12,suma,VE,Sum
2004-09-01,22,suma,VE,Sum
2004-10-01,44,suma,VE,Sum
2004-11-01,46,suma,VE,Sum
2004-12-01,36,suma,VE,Sum
2005-01-01,41,suma,VE,Sum
2005-02-01,45,suma,VE,Sum
2005-03-01,24,suma,VE,Sum
2005-04-01,18,suma,VE,Sum
2005-05-01,30,suma,VE,Sum
2005-06-01,52,suma,VE,Sum
2005-07-01,24,suma,VE,Sum
2005-08-01,6,suma,VE,Sum
2005-09-01,36,suma,VE,Sum
2005-10-01,40,suma,VE,Sum
2005-11-01,35,suma,VE,Sum
2005-12-01,19,suma,VE,Sum
2006-01-01,36,suma,VE,Sum
2006-02-01,21,suma,VE,Sum
2006-03-01,28,suma,VE,Sum
2006-04-01,23,suma,VE,Sum
2006-05-01,28,suma,VE,Sum
2006-06-01,25,suma,VE,Sum
2006-07-01,24,suma,VE,Sum
2006-08-01,16,suma,VE,Sum
2006-09-01,24,suma,VE,Sum
2006-10-01,29,suma,VE,Sum
2006-11-01,37,suma,VE,Sum
2006-12-01,14,suma,VE,Sum
2007-01-01,31,suma,VE,Sum
2007-02-01,25,suma,VE,Sum
2007-03-01,22,suma,VE,Sum
2007-04-01,28,suma,VE,Sum
2007-05-01,32,suma,VE,Sum
2007-06-01,34,suma,VE,Sum
2007-07-01,22,suma,VE,Sum
2007-08-01,12,suma,VE,Sum
2007-09-01,17,suma,VE,Sum
2007-10-01,37,suma,VE,Sum
2007-11-01,31,suma,VE,Sum
2007-12-01,15,suma,VE,Sum
2008-01-01,34,suma,VE,Sum
2008-02-01,35,suma,VE,Sum
2008-03-01,26,suma,VE,Sum
2008-04-01,39,suma,VE,Sum
2008-05-01,35,suma,VE,Sum
2008-06-01,38,suma,VE,Sum
2008-07-01,27,suma,VE,Sum
2008-08-01,14,suma,VE,Sum
2008-09-01,24,suma,VE,Sum
2008-10-01,41,suma,VE,Sum
2008-11-01,35,suma,VE,Sum
2008-12-01,18,suma,VE,Sum
2009-01-01,29,suma,VE,Sum
2009-02-01,35,suma,VE,Sum
2009-03-01,36,suma,VE,Sum
2009-04-01,31,suma,VE,Sum
2009-05-01,36,suma,VE,Sum
2009-06-01,34,suma,VE,Sum
2009-07-01,28,suma,VE,Sum
2009-08-01,18,suma,VE,Sum
2009-09-01,22,suma,VE,Sum
2009-10-01,43,suma,VE,Sum
2009-11-01,40,suma,VE,Sum
2009-12-01,20,suma,VE,Sum
2010-01-01,25,suma,VE,Sum
2010-02-01,26,suma,VE,Sum
2010-03-01,24,suma,VE,Sum
2010-04-01,28,suma,VE,Sum
2010-05-01,31,suma,VE,Sum
2010-06-01,26,suma,VE,Sum
2010-07-01,18,suma,VE,Sum
2010-08-01,6,suma,VE,Sum
2010-09-01,14,suma,VE,Sum
2010-10-01,41,suma,VE,Sum
2010-11-01,39,suma,VE,Sum
2010-12-01,15,suma,VE,Sum
2011-01-01,29,suma,VE,Sum
2011-02-01,35,suma,VE,Sum
2011-03-01,32,suma,VE,Sum
2011-04-01,31,suma,VE,Sum
2011-05-01,36,suma,VE,Sum
2011-06-01,31,suma,VE,Sum
2011-07-01,24,suma,VE,Sum
2011-08-01,16,suma,VE,Sum
2011-09-01,20,suma,VE,Sum
2011-10-01,47,suma,VE,Sum
2011-11-01,37,suma,VE,Sum
2011-12-01,21,suma,VE,Sum
2012-01-01,32,suma,VE,Sum
2012-02-01,29,suma,VE,Sum
2012-03-01,33,suma,VE,Sum
2012-04-01,30,suma,VE,Sum
2012-05-01,33,suma,VE,Sum
2012-06-01,35,suma,VE,Sum
2012-07-01,22,suma,VE,Sum
2012-08-01,14,suma,VE,Sum
2012-09-01,18,suma,VE,Sum
2012-10-01,39,suma,VE,Sum
2012-11-01,39,suma,VE,Sum
2012-12-01,17,suma,VE,Sum
2013-01-01,25,suma,VE,Sum
2013-02-01,29,suma,VE,Sum
2013-03-01,29,suma,VE,Sum
2013-04-01,28,suma,VE,Sum
2013-05-01,33,suma,VE,Sum
2013-06-01,32,suma,VE,Sum
2013-07-01,22,suma,VE,Sum
2013-08-01,11,suma,VE,Sum
2013-09-01,17,suma,VE,Sum
2013-10-01,44,suma,VE,Sum
2013-11-01,36,suma,VE,Sum
2013-12-01,14,suma,VE,Sum
2014-01-01,27,suma,VE,Sum
2014-02-01,31,suma,VE,Sum
2014-03-01,30,suma,VE,Sum
2014-04-01,29,suma,VE,Sum
2014-05-01,34,suma,VE,Sum
2014-06-01,32,suma,VE,Sum
2014-07-01,23,suma,VE,Sum
2014-08-01,15,suma,VE,Sum
2014-09-01,22,suma,VE,Sum
2014-10-01,37,suma,VE,Sum
2014-11-01,36,suma,VE,Sum
2014-12-01,19,suma,VE,Sum
2015-01-01,24,suma,VE,Sum
2015-02-01,31,suma,VE,Sum
2015-03-01,33,suma,VE,Sum
2015-04-01,33,suma,VE,Sum
2015-05-01,31,suma,VE,Sum
2015-06-01,31,suma,VE,Sum
2015-07-01,22,suma,VE,Sum
2015-08-01,13,suma,VE,Sum
2015-09-01,20,suma,VE,Sum
2015-10-01,36,suma,VE,Sum
2015-11-01,36,suma,VE,Sum
2015-12-01,13,suma,VE,Sum
2016-01-01,26,suma,VE,Sum
2016-02-01,35,suma,VE,Sum
2016-03-01,30,suma,VE,Sum
2016-04-01,29,suma,VE,Sum
2016-05-01,33,suma,VE,Sum
2016-06-01,32,suma,VE,Sum
2016-07-01,19,suma,VE,Sum
2016-08-01,13,suma,VE,Sum
2016-09-01,16,suma,VE,Sum
2016-10-01,42,suma,VE,Sum
2016-11-01,43,suma,VE,Sum
2016-12-01,16,suma,VE,Sum
2017-01-01,26,suma,VE,Sum
2017-02-01,34,suma,VE,Sum
2017-03-01,36,suma,VE,Sum
2017-04-01,23,suma,VE,Sum
2017-05-01,32,suma,VE,Sum
2017-06-01,30,suma,VE,Sum
2017-07-01,16,suma,VE,Sum
2017-08-01,9,suma,VE,Sum
2017-09-01,16,suma,VE,Sum
2017-10-01,33,suma,VE,Sum
2017-11-01,32,suma,VE,Sum
2017-12-01,10,suma,VE,Sum
2018-01-01,23,suma,VE,Sum
2018-02-01,27,suma,VE,Sum
2018-03-01,24,suma,VE,Sum
2018-04-01,23,suma,VE,Sum
2018-05-01,22,suma,VE,Sum
2018-06-01,26,suma,VE,Sum
2018-07-01,14,suma,VE,Sum
2018-08-01,7,suma,VE,Sum
2018-09-01,9,suma,VE,Sum
2018-10-01,38,suma,VE,Sum
2018-11-01,34,suma,VE,Sum
2018-12-01,10,suma,VE,Sum
2019-01-01,20,suma,VE,Sum
2019-02-01,30,suma,VE,Sum
2019-03-01,27,suma,VE,Sum
2019-04-01,23,suma,VE,Sum
2019-05-01,35,suma,VE,Sum
2019-06-01,32,suma,VE,Sum
2019-07-01,20,suma,VE,Sum
2019-08-01,9,suma,VE,Sum
2019-09-01,14,suma,VE,Sum
2019-10-01,43,suma,VE,Sum
2019-11-01,41,suma,VE,Sum
2019-12-01,16,suma,VE,Sum
2020-01-01,26,suma,VE,Sum
2020-02-01,37,suma,VE,Sum
2020-03-01,56,suma,VE,Sum
2020-04-01,79,suma,VE,Sum
2020-05-01,75,suma,VE,Sum
2020-06-01,53,suma,VE,Sum
2020-07-01,21,suma,VE,Sum
2020-08-01,14,suma,VE,Sum
2020-09-01,19,suma,VE,Sum
2020-10-01,88,suma,VE,Sum
2020-11-01,85,suma,VE,Sum
2020-12-01,22,suma,VE,Sum
2021-01-01,44,suma,VE,Sum
2021-02-01,84,suma,VE,Sum
2021-03-01,60,suma,VE,Sum
2021-04-01,64,suma,VE,Sum
2021-05-01,80,suma,VE,Sum
2021-06-01,54,suma,VE,Sum
2021-07-01,25,suma,VE,Sum
2021-08-01,15,suma,VE,Sum
2021-09-01,15,suma,VE,Sum
2021-10-01,53,suma,VE,Sum
2021-11-01,100,suma,VE,Sum
2021-12-01,42,suma,VE,Sum
2022-01-01,57,suma,VE,Sum
2022-02-01,79,suma,VE,Sum
2022-03-01,80,suma,VE,Sum
2022-04-01,53,suma,VE,Sum
2022-05-01,63,suma,VE,Sum
2022-06-01,53,suma,VE,Sum
2022-07-01,26,suma,VE,Sum
2022-08-01,14,suma,VE,Sum
2022-09-01,17,suma,VE,Sum
2022-10-01,72,suma,VE,Sum
2022-11-01,70,suma,VE,Sum
2022-12-01,25,suma,VE,Sum
2023-01-01,38,suma,VE,Sum
2023-02-01,51,suma,VE,Sum
2023-03-01,59,suma,VE,Sum
2023-04-01,43,suma,VE,Sum
2023-05-01,55,suma,VE,Sum
2004-01-01,0,grivna,VE,Hryvnia
2004-02-01,0,grivna,VE,Hryvnia
2004-03-01,0,grivna,VE,Hryvnia
2004-04-01,0,grivna,VE,Hryvnia
2004-05-01,0,grivna,VE,Hryvnia
2004-06-01,0,grivna,VE,Hryvnia
2004-07-01,0,grivna,VE,Hryvnia
2004-08-01,0,grivna,VE,Hryvnia
2004-09-01,0,grivna,VE,Hryvnia
2004-10-01,0,grivna,VE,Hryvnia
2004-11-01,0,grivna,VE,Hryvnia
2004-12-01,0,grivna,VE,Hryvnia
2005-01-01,59,grivna,VE,Hryvnia
2005-02-01,100,grivna,VE,Hryvnia
2005-03-01,0,grivna,VE,Hryvnia
2005-04-01,0,grivna,VE,Hryvnia
2005-05-01,0,grivna,VE,Hryvnia
2005-06-01,0,grivna,VE,Hryvnia
2005-07-01,0,grivna,VE,Hryvnia
2005-08-01,0,grivna,VE,Hryvnia
2005-09-01,0,grivna,VE,Hryvnia
2005-10-01,41,grivna,VE,Hryvnia
2005-11-01,0,grivna,VE,Hryvnia
2005-12-01,0,grivna,VE,Hryvnia
2006-01-01,0,grivna,VE,Hryvnia
2006-02-01,0,grivna,VE,Hryvnia
2006-03-01,39,grivna,VE,Hryvnia
2006-04-01,0,grivna,VE,Hryvnia
2006-05-01,78,grivna,VE,Hryvnia
2006-06-01,0,grivna,VE,Hryvnia
2006-07-01,0,grivna,VE,Hryvnia
2006-08-01,0,grivna,VE,Hryvnia
2006-09-01,0,grivna,VE,Hryvnia
2006-10-01,0,grivna,VE,Hryvnia
2006-11-01,47,grivna,VE,Hryvnia
2006-12-01,0,grivna,VE,Hryvnia
2007-01-01,0,grivna,VE,Hryvnia
2007-02-01,0,grivna,VE,Hryvnia
2007-03-01,0,grivna,VE,Hryvnia
2007-04-01,0,grivna,VE,Hryvnia
2007-05-01,0,grivna,VE,Hryvnia
2007-06-01,0,grivna,VE,Hryvnia
2007-07-01,0,grivna,VE,Hryvnia
2007-08-01,0,grivna,VE,Hryvnia
2007-09-01,0,grivna,VE,Hryvnia
2007-10-01,20,grivna,VE,Hryvnia
2007-11-01,0,grivna,VE,Hryvnia
2007-12-01,0,grivna,VE,Hryvnia
2008-01-01,0,grivna,VE,Hryvnia
2008-02-01,0,grivna,VE,Hryvnia
2008-03-01,36,grivna,VE,Hryvnia
2008-04-01,0,grivna,VE,Hryvnia
2008-05-01,0,grivna,VE,Hryvnia
2008-06-01,15,grivna,VE,Hryvnia
2008-07-01,0,grivna,VE,Hryvnia
2008-08-01,0,grivna,VE,Hryvnia
2008-09-01,0,grivna,VE,Hryvnia
2008-10-01,0,grivna,VE,Hryvnia
2008-11-01,0,grivna,VE,Hryvnia
2008-12-01,17,grivna,VE,Hryvnia
2009-01-01,0,grivna,VE,Hryvnia
2009-02-01,26,grivna,VE,Hryvnia
2009-03-01,0,grivna,VE,Hryvnia
2009-04-01,0,grivna,VE,Hryvnia
2009-05-01,0,grivna,VE,Hryvnia
2009-06-01,0,grivna,VE,Hryvnia
2009-07-01,9,grivna,VE,Hryvnia
2009-08-01,0,grivna,VE,Hryvnia
2009-09-01,0,grivna,VE,Hryvnia
2009-10-01,14,grivna,VE,Hryvnia
2009-11-01,0,grivna,VE,Hryvnia
2009-12-01,0,grivna,VE,Hryvnia
2010-01-01,0,grivna,VE,Hryvnia
2010-02-01,10,grivna,VE,Hryvnia
2010-03-01,0,grivna,VE,Hryvnia
2010-04-01,21,grivna,VE,Hryvnia
2010-05-01,0,grivna,VE,Hryvnia
2010-06-01,0,grivna,VE,Hryvnia
2010-07-01,9,grivna,VE,Hryvnia
2010-08-01,0,grivna,VE,Hryvnia
2010-09-01,0,grivna,VE,Hryvnia
2010-10-01,0,grivna,VE,Hryvnia
2010-11-01,0,grivna,VE,Hryvnia
2010-12-01,0,grivna,VE,Hryvnia
2011-01-01,0,grivna,VE,Hryvnia
2011-02-01,0,grivna,VE,Hryvnia
2011-03-01,0,grivna,VE,Hryvnia
2011-04-01,0,grivna,VE,Hryvnia
2011-05-01,0,grivna,VE,Hryvnia
2011-06-01,6,grivna,VE,Hryvnia
2011-07-01,7,grivna,VE,Hryvnia
2011-08-01,0,grivna,VE,Hryvnia
2011-09-01,0,grivna,VE,Hryvnia
2011-10-01,0,grivna,VE,Hryvnia
2011-11-01,0,grivna,VE,Hryvnia
2011-12-01,0,grivna,VE,Hryvnia
2012-01-01,4,grivna,VE,Hryvnia
2012-02-01,0,grivna,VE,Hryvnia
2012-03-01,0,grivna,VE,Hryvnia
2012-04-01,0,grivna,VE,Hryvnia
2012-05-01,0,grivna,VE,Hryvnia
2012-06-01,0,grivna,VE,Hryvnia
2012-07-01,0,grivna,VE,Hryvnia
2012-08-01,0,grivna,VE,Hryvnia
2012-09-01,0,grivna,VE,Hryvnia
2012-10-01,0,grivna,VE,Hryvnia
2012-11-01,0,grivna,VE,Hryvnia
2012-12-01,0,grivna,VE,Hryvnia
2013-01-01,0,grivna,VE,Hryvnia
2013-02-01,0,grivna,VE,Hryvnia
2013-03-01,0,grivna,VE,Hryvnia
2013-04-01,0,grivna,VE,Hryvnia
2013-05-01,0,grivna,VE,Hryvnia
2013-06-01,0,grivna,VE,Hryvnia
2013-07-01,5,grivna,VE,Hryvnia
2013-08-01,0,grivna,VE,Hryvnia
2013-09-01,0,grivna,VE,Hryvnia
2013-10-01,3,grivna,VE,Hryvnia
2013-11-01,5,grivna,VE,Hryvnia
2013-12-01,3,grivna,VE,Hryvnia
2014-01-01,0,grivna,VE,Hryvnia
2014-02-01,0,grivna,VE,Hryvnia
2014-03-01,0,grivna,VE,Hryvnia
2014-04-01,0,grivna,VE,Hryvnia
2014-05-01,0,grivna,VE,Hryvnia
2014-06-01,0,grivna,VE,Hryvnia
2014-07-01,0,grivna,VE,Hryvnia
2014-08-01,3,grivna,VE,Hryvnia
2014-09-01,0,grivna,VE,Hryvnia
2014-10-01,0,grivna,VE,Hryvnia
2014-11-01,0,grivna,VE,Hryvnia
2014-12-01,0,grivna,VE,Hryvnia
2015-01-01,0,grivna,VE,Hryvnia
2015-02-01,0,grivna,VE,Hryvnia
2015-03-01,0,grivna,VE,Hryvnia
2015-04-01,0,grivna,VE,Hryvnia
2015-05-01,0,grivna,VE,Hryvnia
2015-06-01,0,grivna,VE,Hryvnia
2015-07-01,0,grivna,VE,Hryvnia
2015-08-01,0,grivna,VE,Hryvnia
2015-09-01,0,grivna,VE,Hryvnia
2015-10-01,0,grivna,VE,Hryvnia
2015-11-01,0,grivna,VE,Hryvnia
2015-12-01,0,grivna,VE,Hryvnia
2016-01-01,5,grivna,VE,Hryvnia
2016-02-01,0,grivna,VE,Hryvnia
2016-03-01,0,grivna,VE,Hryvnia
2016-04-01,0,grivna,VE,Hryvnia
2016-05-01,0,grivna,VE,Hryvnia
2016-06-01,4,grivna,VE,Hryvnia
2016-07-01,0,grivna,VE,Hryvnia
2016-08-01,0,grivna,VE,Hryvnia
2016-09-01,0,grivna,VE,Hryvnia
2016-10-01,0,grivna,VE,Hryvnia
2016-11-01,0,grivna,VE,Hryvnia
2016-12-01,0,grivna,VE,Hryvnia
2017-01-01,0,grivna,VE,Hryvnia
2017-02-01,0,grivna,VE,Hryvnia
2017-03-01,0,grivna,VE,Hryvnia
2017-04-01,0,grivna,VE,Hryvnia
2017-05-01,0,grivna,VE,Hryvnia
2017-06-01,0,grivna,VE,Hryvnia
2017-07-01,0,grivna,VE,Hryvnia
2017-08-01,0,grivna,VE,Hryvnia
2017-09-01,0,grivna,VE,Hryvnia
2017-10-01,0,grivna,VE,Hryvnia
2017-11-01,0,grivna,VE,Hryvnia
2017-12-01,0,grivna,VE,Hryvnia
2018-01-01,0,grivna,VE,Hryvnia
2018-02-01,8,grivna,VE,Hryvnia
2018-03-01,0,grivna,VE,Hryvnia
2018-04-01,0,grivna,VE,Hryvnia
2018-05-01,0,grivna,VE,Hryvnia
2018-06-01,0,grivna,VE,Hryvnia
2018-07-01,3,grivna,VE,Hryvnia
2018-08-01,5,grivna,VE,Hryvnia
2018-09-01,0,grivna,VE,Hryvnia
2018-10-01,0,grivna,VE,Hryvnia
2018-11-01,0,grivna,VE,Hryvnia
2018-12-01,3,grivna,VE,Hryvnia
2019-01-01,0,grivna,VE,Hryvnia
2019-02-01,0,grivna,VE,Hryvnia
2019-03-01,0,grivna,VE,Hryvnia
2019-04-01,9,grivna,VE,Hryvnia
2019-05-01,4,grivna,VE,Hryvnia
2019-06-01,0,grivna,VE,Hryvnia
2019-07-01,0,grivna,VE,Hryvnia
2019-08-01,0,grivna,VE,Hryvnia
2019-09-01,0,grivna,VE,Hryvnia
2019-10-01,0,grivna,VE,Hryvnia
2019-11-01,0,grivna,VE,Hryvnia
2019-12-01,0,grivna,VE,Hryvnia
2020-01-01,8,grivna,VE,Hryvnia
2020-02-01,0,grivna,VE,Hryvnia
2020-03-01,5,grivna,VE,Hryvnia
2020-04-01,0,grivna,VE,Hryvnia
2020-05-01,0,grivna,VE,Hryvnia
2020-06-01,0,grivna,VE,Hryvnia
2020-07-01,8,grivna,VE,Hryvnia
2020-08-01,0,grivna,VE,Hryvnia
2020-09-01,0,grivna,VE,Hryvnia
2020-10-01,0,grivna,VE,Hryvnia
2020-11-01,0,grivna,VE,Hryvnia
2020-12-01,0,grivna,VE,Hryvnia
2021-01-01,0,grivna,VE,Hryvnia
2021-02-01,0,grivna,VE,Hryvnia
2021-03-01,0,grivna,VE,Hryvnia
2021-04-01,0,grivna,VE,Hryvnia
2021-05-01,0,grivna,VE,Hryvnia
2021-06-01,3,grivna,VE,Hryvnia
2021-07-01,0,grivna,VE,Hryvnia
2021-08-01,0,grivna,VE,Hryvnia
2021-09-01,17,grivna,VE,Hryvnia
2021-10-01,0,grivna,VE,Hryvnia
2021-11-01,4,grivna,VE,Hryvnia
2021-12-01,0,grivna,VE,Hryvnia
2022-01-01,0,grivna,VE,Hryvnia
2022-02-01,0,grivna,VE,Hryvnia
2022-03-01,2,grivna,VE,Hryvnia
2022-04-01,0,grivna,VE,Hryvnia
2022-05-01,3,grivna,VE,Hryvnia
2022-06-01,0,grivna,VE,Hryvnia
2022-07-01,4,grivna,VE,Hryvnia
2022-08-01,0,grivna,VE,Hryvnia
2022-09-01,0,grivna,VE,Hryvnia
2022-10-01,0,grivna,VE,Hryvnia
2022-11-01,0,grivna,VE,Hryvnia
2022-12-01,0,grivna,VE,Hryvnia
2023-01-01,0,grivna,VE,Hryvnia
2023-02-01,0,grivna,VE,Hryvnia
2023-03-01,0,grivna,VE,Hryvnia
2023-04-01,0,grivna,VE,Hryvnia
2023-05-01,0,grivna,VE,Hryvnia
2004-01-01,0,peso dominicano,VE,Dominican Peso
2004-02-01,0,peso dominicano,VE,Dominican Peso
2004-03-01,0,peso dominicano,VE,Dominican Peso
2004-04-01,0,peso dominicano,VE,Dominican Peso
2004-05-01,0,peso dominicano,VE,Dominican Peso
2004-06-01,0,peso dominicano,VE,Dominican Peso
2004-07-01,0,peso dominicano,VE,Dominican Peso
2004-08-01,0,peso dominicano,VE,Dominican Peso
2004-09-01,0,peso dominicano,VE,Dominican Peso
2004-10-01,0,peso dominicano,VE,Dominican Peso
2004-11-01,0,peso dominicano,VE,Dominican Peso
2004-12-01,62,peso dominicano,VE,Dominican Peso
2005-01-01,0,peso dominicano,VE,Dominican Peso
2005-02-01,0,peso dominicano,VE,Dominican Peso
2005-03-01,88,peso dominicano,VE,Dominican Peso
2005-04-01,0,peso dominicano,VE,Dominican Peso
2005-05-01,25,peso dominicano,VE,Dominican Peso
2005-06-01,0,peso dominicano,VE,Dominican Peso
2005-07-01,100,peso dominicano,VE,Dominican Peso
2005-08-01,0,peso dominicano,VE,Dominican Peso
2005-09-01,0,peso dominicano,VE,Dominican Peso
2005-10-01,0,peso dominicano,VE,Dominican Peso
2005-11-01,0,peso dominicano,VE,Dominican Peso
2005-12-01,0,peso dominicano,VE,Dominican Peso
2006-01-01,0,peso dominicano,VE,Dominican Peso
2006-02-01,18,peso dominicano,VE,Dominican Peso
2006-03-01,0,peso dominicano,VE,Dominican Peso
2006-04-01,0,peso dominicano,VE,Dominican Peso
2006-05-01,0,peso dominicano,VE,Dominican Peso
2006-06-01,11,peso dominicano,VE,Dominican Peso
2006-07-01,0,peso dominicano,VE,Dominican Peso
2006-08-01,0,peso dominicano,VE,Dominican Peso
2006-09-01,17,peso dominicano,VE,Dominican Peso
2006-10-01,0,peso dominicano,VE,Dominican Peso
2006-11-01,0,peso dominicano,VE,Dominican Peso
2006-12-01,17,peso dominicano,VE,Dominican Peso
2007-01-01,0,peso dominicano,VE,Dominican Peso
2007-02-01,0,peso dominicano,VE,Dominican Peso
2007-03-01,0,peso dominicano,VE,Dominican Peso
2007-04-01,0,peso dominicano,VE,Dominican Peso
2007-05-01,8,peso dominicano,VE,Dominican Peso
2007-06-01,0,peso dominicano,VE,Dominican Peso
2007-07-01,0,peso dominicano,VE,Dominican Peso
2007-08-01,0,peso dominicano,VE,Dominican Peso
2007-09-01,0,peso dominicano,VE,Dominican Peso
2007-10-01,0,peso dominicano,VE,Dominican Peso
2007-11-01,0,peso dominicano,VE,Dominican Peso
2007-12-01,26,peso dominicano,VE,Dominican Peso
2008-01-01,8,peso dominicano,VE,Dominican Peso
2008-02-01,0,peso dominicano,VE,Dominican Peso
2008-03-01,0,peso dominicano,VE,Dominican Peso
2008-04-01,0,peso dominicano,VE,Dominican Peso
2008-05-01,7,peso dominicano,VE,Dominican Peso
2008-06-01,0,peso dominicano,VE,Dominican Peso
2008-07-01,0,peso dominicano,VE,Dominican Peso
2008-08-01,5,peso dominicano,VE,Dominican Peso
2008-09-01,0,peso dominicano,VE,Dominican Peso
2008-10-01,0,peso dominicano,VE,Dominican Peso
2008-11-01,0,peso dominicano,VE,Dominican Peso
